year,month,period,tendays,Q_cms,era
1976,4,mid,11,10.13,EIA
1977,4,mid,11,7.57,EIA
1978,4,mid,11,7.13,EIA
1979,4,mid,11,9.86,EIA
1980,4,mid,11,15.11,EIA
1981,4,mid,11,6.13,EIA
1982,4,mid,11,7.16,EIA
1983,4,mid,11,5.59,EIA
1984,4,mid,11,4,EIA
1985,4,mid,11,6.96,EIA
1986,4,mid,11,6.23,EIA
1987,4,mid,11,6.63,EIA
1988,4,mid,11,7.88,EIA
1989,4,mid,11,7.39,EIA
1990,4,mid,11,8.65,EIA
1991,4,mid,11,12.4,EIA
1992,4,mid,11,5.09,EIA
1993,4,mid,11,12.87,EIA
1994,4,mid,11,10.05,EIA
1995,4,mid,11,5.52,EIA
1996,4,mid,11,6.56,EIA_Difference
1997,4,mid,11,6.3,EIA_Difference
1998,4,mid,11,9.97,EIA_Difference
1999,4,mid,11,6.05,EIA_Difference
2000,4,mid,11,5.68,EIA_Difference
2001,4,mid,11,6.92,EIA_Difference
2002,4,mid,11,8.68,EIA_Difference
2003,4,mid,11,6.18,EIA_Difference
2004,4,mid,11,4.76,EIA_Difference
2005,4,mid,11,9.1,EIA_Difference
2006,4,mid,11,8.48,Current
2007,4,mid,11,7.31,Current
2008,4,mid,11,13.37,Current
2009,4,mid,11,4.52,Current
2010,4,mid,11,5.15,Current
2011,4,mid,11,5.27,Current
2012,4,mid,11,6.74,Current
2013,4,mid,11,1.82,Current
2014,4,mid,11,7.1,Current
2015,4,mid,11,6.52,Current
2016,4,mid,11,10.97,Current
2017,4,mid,11,7.9,Current
2018,4,mid,11,6.68,Current
2019,4,mid,11,13.57,Current
1959,4,late,12,10.13,EIA
1960,4,late,12,6.72,EIA
1961,4,late,12,6.52,EIA
1962,4,late,12,7.66,EIA
1963,4,late,12,4.33,EIA
1964,4,late,12,6.91,EIA
1965,4,late,12,5.93,EIA
1966,4,late,12,7.11,EIA
1967,4,late,12,14.53,EIA
1968,4,late,12,10.1,EIA
1969,4,late,12,5.37,EIA
1970,4,late,12,6.5,EIA
1971,4,late,12,6.86,EIA
1972,4,late,12,10.15,EIA
1973,4,late,12,5.34,EIA
1974,4,late,12,10.35,EIA
1975,4,late,12,9.55,EIA
1976,4,late,12,6.04,EIA
1977,4,late,12,6.78,EIA
1978,4,late,12,12.87,EIA
1979,4,late,12,7.31,EIA
1980,4,late,12,5.24,EIA
1981,4,late,12,6.12,EIA
1982,4,late,12,6.09,EIA
1983,4,late,12,11.99,EIA
1984,4,late,12,8.53,EIA
1985,4,late,12,6.25,EIA
1986,4,late,12,5.95,EIA
1987,4,late,12,7,EIA
1988,4,late,12,8.79,EIA
1989,4,late,12,7.94,EIA
1990,4,late,12,15.26,EIA
1991,4,late,12,4.48,EIA
1992,4,late,12,11.95,EIA
1993,4,late,12,6.96,EIA
1994,4,late,12,4.63,EIA
1995,4,late,12,4.72,EIA
1996,4,late,12,8.2,EIA_Difference
1997,4,late,12,8.64,EIA_Difference
1998,4,late,12,10.06,EIA_Difference
1999,4,late,12,3.65,EIA_Difference
2000,4,late,12,9.04,EIA_Difference
2001,4,late,12,7.12,EIA_Difference
2002,4,late,12,5.5,EIA_Difference
2003,4,late,12,17.15,EIA_Difference
2004,4,late,12,7.09,EIA_Difference
2005,4,late,12,10.9,EIA_Difference
2006,4,late,12,6.74,Current
2007,4,late,12,7.51,Current
2008,4,late,12,14.15,Current
2009,4,late,12,4.52,Current
2010,4,late,12,5.4,Current
2011,4,late,12,4.86,Current
2012,4,late,12,7.25,Current
2013,4,late,12,3.41,Current
2014,4,late,12,6.76,Current
2015,4,late,12,6.56,Current
2016,4,late,12,6.47,Current
2017,4,late,12,6.47,Current
2018,4,late,12,9.07,Current
2019,4,late,12,12.47,Current
1959,5,early,13,12.98,EIA
1960,5,early,13,7.01,EIA
1961,5,early,13,5.72,EIA
1962,5,early,13,6.15,EIA
1963,5,early,13,3.96,EIA
1964,5,early,13,10.07,EIA
1965,5,early,13,5.74,EIA
1966,5,early,13,8.13,EIA
1967,5,early,13,9.25,EIA
1968,5,early,13,8.33,EIA
1969,5,early,13,7.1,EIA
1970,5,early,13,6.55,EIA
1971,5,early,13,8.08,EIA
1972,5,early,13,12.08,EIA
1973,5,early,13,4.63,EIA
1974,5,early,13,7.32,EIA
1975,5,early,13,10.12,EIA
1976,5,early,13,7.57,EIA
1977,5,early,13,6.84,EIA
1978,5,early,13,11.06,EIA
1979,5,early,13,7.2,EIA
1980,5,early,13,4.83,EIA
1981,5,early,13,7.02,EIA
1982,5,early,13,7.12,EIA
1983,5,early,13,15.82,EIA
1984,5,early,13,10.75,EIA
1985,5,early,13,10.06,EIA
1986,5,early,13,6.74,EIA
1987,5,early,13,6.53,EIA
1988,5,early,13,7.2,EIA
1989,5,early,13,8.77,EIA
1990,5,early,13,12.56,EIA
1991,5,early,13,5.77,EIA
1992,5,early,13,9.14,EIA
1993,5,early,13,6.48,EIA
1994,5,early,13,7.04,EIA
1995,5,early,13,5.52,EIA
1996,5,early,13,12.27,EIA_Difference
1997,5,early,13,8.92,EIA_Difference
1998,5,early,13,11.39,EIA_Difference
1999,5,early,13,9.54,EIA_Difference
2000,5,early,13,9.06,EIA_Difference
2001,5,early,13,7.55,EIA_Difference
2002,5,early,13,7.69,EIA_Difference
2003,5,early,13,10.37,EIA_Difference
2004,5,early,13,6.84,EIA_Difference
2005,5,early,13,8.46,EIA_Difference
2006,5,early,13,7.44,Current
2007,5,early,13,6.83,Current
2008,5,early,13,10.27,Current
2009,5,early,13,3.95,Current
2010,5,early,13,5.82,Current
2011,5,early,13,6.27,Current
